strain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
D,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,blank,blank,blank,blank
E,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,blank,blank,blank,blank
F,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,blank,blank,blank,blank
G,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,blank,blank,blank,blank
H,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,blank,blank,blank,blank
I,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,blank,blank,blank,blank
J,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,blank,blank,blank,blank
K,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,blank,blank,blank,blank
L,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,blank,blank,blank,blank
M,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,blank,blank,blank,blank
