strain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
D,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,NA,NA,NA,NA,NA,NA,NA,NA,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2
E,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,NA,NA,NA,NA,NA,NA,NA,NA,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2
F,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,NA,NA,NA,NA,NA,NA,NA,NA,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2
G,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,NA,NA,NA,NA,NA,NA,NA,NA,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2
H,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,NA,NA,NA,NA,NA,NA,NA,NA,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2
I,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,NA,NA,NA,NA,NA,NA,NA,NA,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2
J,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,NA,NA,NA,NA,NA,NA,NA,NA,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2
K,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,NA,NA,NA,NA,NA,NA,NA,NA,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2
L,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,NA,NA,NA,NA,NA,NA,NA,NA,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2
M,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,NA,NA,NA,NA,NA,NA,NA,NA,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2
