strain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
K,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,INS_AS20_t2+PpcaU-AS28_t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,
aTc,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,0,0.2,0.5,2.5,NA,NA,NA,NA,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,0,0.2,0.5,2.5,NA,NA,NA,NA,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,0,0.2,0.5,2.5,NA,NA,NA,NA,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D,0,0.2,0.5,2.5,NA,NA,NA,NA,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E,0,0.2,0.5,2.5,NA,NA,NA,NA,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F,0,0.2,0.5,2.5,NA,NA,NA,NA,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G,0,0.2,0.5,2.5,NA,NA,NA,NA,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,0,0.2,0.5,2.5,NA,NA,NA,NA,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I,0,0.2,0.5,2.5,NA,NA,NA,NA,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J,0,0.2,0.5,2.5,NA,NA,NA,NA,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K,0,0.2,0.5,2.5,NA,NA,NA,NA,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,0,0.2,0.5,2.5,NA,NA,NA,NA,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M,0,0.2,0.5,2.5,NA,NA,NA,NA,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,0,0.2,0.5,2.5,NA,NA,NA,NA,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O,0,0.2,0.5,2.5,NA,NA,NA,NA,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P,0,0.2,0.5,2.5,NA,NA,NA,NA,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,
DHBA,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E,5,5,5,5,NA,NA,NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F,5,5,5,5,NA,NA,NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G,5,5,5,5,NA,NA,NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,5,5,5,5,NA,NA,NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I,50,50,50,50,NA,NA,NA,NA,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J,50,50,50,50,NA,NA,NA,NA,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K,50,50,50,50,NA,NA,NA,NA,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,50,50,50,50,NA,NA,NA,NA,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M,250,250,250,250,NA,NA,NA,NA,250,250,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,250,250,250,250,NA,NA,NA,NA,250,250,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O,250,250,250,250,NA,NA,NA,NA,250,250,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P,250,250,250,250,NA,NA,NA,NA,250,250,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,
rep,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,1,1,1,1,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,1,1,1,1,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,1,1,1,1,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D,1,1,1,1,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E,1,1,1,1,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F,1,1,1,1,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G,1,1,1,1,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,1,1,1,1,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I,1,1,1,1,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J,1,1,1,1,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K,1,1,1,1,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,1,1,1,1,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M,1,1,1,1,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,1,1,1,1,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O,1,1,1,1,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P,1,1,1,1,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
