term,group1,group2,estimate,p.adj,p.adj.signif
interaction_var:strain,100.0:GFC0155,0.5e-06:GFC0155,0.09968605751712545,9.72e-4,***
interaction_var:strain,100.0:GFC0155,100.5e-06:GFC0155,-0.004497489117299164,1,ns
interaction_var:strain,100.0:GFC0155,0.0:GFC0156,0.1013793241881821,6.53e-4,***
interaction_var:strain,100.0:GFC0155,100.0:GFC0156,0.0016309884371717709,1,ns
interaction_var:strain,100.0:GFC0155,0.5e-06:GFC0156,0.08027953380476796,0.0524,ns
interaction_var:strain,100.0:GFC0155,100.5e-06:GFC0156,0.0010556110935759089,1,ns
interaction_var:strain,100.0:GFC0155,0.0:GFC0157,0.09672486874865768,0.00192,**
interaction_var:strain,100.0:GFC0155,100.0:GFC0157,-0.09346559253721537,0.101,ns
interaction_var:strain,100.0:GFC0155,0.5e-06:GFC0157,-0.042809040941522575,0.997,ns
interaction_var:strain,100.0:GFC0155,100.5e-06:GFC0157,-0.08140218998280399,0.0431,*
interaction_var:strain,100.0:GFC0155,0.0:GFC0158,0.1160897181193519,1.57e-5,****
interaction_var:strain,100.0:GFC0155,100.0:GFC0158,0.10174628167728911,5.98e-4,***
interaction_var:strain,100.0:GFC0155,0.5e-06:GFC0158,0.12224808977136975,2.91e-6,****
interaction_var:strain,100.0:GFC0155,100.5e-06:GFC0158,0.06846717730076857,0.296,ns
interaction_var:strain,100.0:GFC0155,0.0:GFC0159,0.0907373772265826,0.00706,**
interaction_var:strain,100.0:GFC0155,100.0:GFC0159,0.09870670609608098,0.00122,**
interaction_var:strain,100.0:GFC0155,0.5e-06:GFC0159,-0.043416291112837124,0.996,ns
interaction_var:strain,100.0:GFC0155,100.5e-06:GFC0159,0.048870377883512034,0.965,ns
interaction_var:strain,100.0:GFC0155,0.0:GFC0160,0.11967859829325561,5.93e-6,****
interaction_var:strain,100.0:GFC0155,100.0:GFC0160,-0.009340759658643324,1,ns
interaction_var:strain,100.0:GFC0155,0.5e-06:GFC0160,0.003148952936197713,1,ns
interaction_var:strain,100.0:GFC0155,100.5e-06:GFC0160,-0.060467158652965036,0.626,ns
interaction_var:strain,100.0:GFC0155,0.0:GFC0161,0.11754479898058123,4.56e-7,****
interaction_var:strain,100.0:GFC0155,100.0:GFC0161,-0.1276306897099392,6.32e-7,****
interaction_var:strain,100.0:GFC0155,0.5e-06:GFC0161,0.09269852877594931,0.00466,**
interaction_var:strain,100.0:GFC0155,100.5e-06:GFC0161,-0.13509568846610165,7.06e-8,****
interaction_var:strain,100.0:GFC0155,0.0:GFC0162,0.14175714488089347,9.34e-9,****
interaction_var:strain,100.0:GFC0155,100.0:GFC0162,0.02219065563993805,1,ns
interaction_var:strain,100.0:GFC0155,0.5e-06:GFC0162,0.16374064905238522,8.45e-12,****
interaction_var:strain,100.0:GFC0155,100.5e-06:GFC0162,0.025622519616274486,1,ns
interaction_var:strain,100.0:GFC0155,0.0:GFC0163,0.13966421352634595,1.77e-8,****
interaction_var:strain,100.0:GFC0155,100.0:GFC0163,0.042929026973406725,0.997,ns
interaction_var:strain,100.0:GFC0155,0.5e-06:GFC0163,0.14574728748536653,2.7e-9,****
interaction_var:strain,100.0:GFC0155,100.5e-06:GFC0163,0.07884525097781975,0.0669,ns
interaction_var:strain,100.0:GFC0155,0.0:GFC0164,0.09234593682936104,0.00502,**
interaction_var:strain,100.0:GFC0155,100.0:GFC0164,-0.057488332421243585,0.75,ns
interaction_var:strain,100.0:GFC0155,0.5e-06:GFC0164,8.230753072305808e-4,1,ns
interaction_var:strain,100.0:GFC0155,100.5e-06:GFC0164,-0.08404786753421689,0.0266,*
interaction_var:strain,100.0:GFC0155,0.0:GFC0165,0.14826380558676172,1.22e-9,****
interaction_var:strain,100.0:GFC0155,100.0:GFC0165,0.11199624933804517,4.63e-5,****
interaction_var:strain,100.0:GFC0155,0.5e-06:GFC0165,0.10333458614665686,4.09e-4,***
